"","pastoralists_index","farmers_index","pastoralistsPerc_index","farmersPerc_index","State","event_type","treatment","time","month_num"
"1",30,199,0.131284808168317,0.868715191831683,"nasarawa",NA,0,0,1
"2",30,190,0.136363636363636,0.863636363636364,"nasarawa",NA,0,0,1
"3",307,88.5,0.776526288759068,0.223473711240932,"nasarawa","naming",0,0,2
"4",304,13,0.958990536277603,0.0410094637223975,"nasarawa","marriage",0,0,2
"5",106.5,24,0.816058002148228,0.183941997851772,"nasarawa",NA,0,0,3
"6",87,169.5,0.339068825910931,0.660931174089069,"nasarawa",NA,0,1,15
"7",114.5,3208,0.0344526529392048,0.965547347060795,"nasarawa","marriage",0,1,15
"8",254,1177,0.175371525836226,0.824628474163774,"nasarawa","marriage",0,1,16
"9",198,1389.5,0.124689059662446,0.875310940337554,"nasarawa","marriage",0,1,17
"10",20,99.5,0.167366946778712,0.832633053221289,"benue",NA,1,0,0
"11",17.5,165,0.0954545454545455,0.904545454545455,"benue",NA,1,0,1
"12",77.5,30,0.717105263157895,0.282894736842105,"benue",NA,1,0,2
"13",95,25,0.791666666666667,0.208333333333333,"benue",NA,1,0,2
"14",93,7,0.93,0.07,"benue","marriage",1,0,3
"15",85,15,0.85,0.15,"benue",NA,1,0,3
"16",64,30,0.680525659907103,0.319474340092897,"benue","naming",1,0,4
"17",34,96,0.261538461538462,0.738461538461539,"benue","marriage",1,0,4
"18",36,12,0.75,0.25,"benue","naming",1,1,15
"19",5,104.5,0.0459389159254909,0.954061084074509,"benue","marriage",1,1,15
"20",53,18,0.746674607901529,0.253325392098471,"benue","marriage",1,1,16
"21",3,73,0.0394736842105263,0.960526315789474,"nasarawa","naming",1,0,5
"22",13,300,0.0415335463258786,0.958466453674121,"nasarawa","marriage",1,1,15
"23",70,30,0.7,0.3,"nasarawa","naming",1,1,16
"24",17,50,0.253731343283582,0.746268656716418,"nasarawa","naming",1,1,17
"25",132,31,0.806908938056479,0.193091061943521,"nasarawa","naming",1,0,6
"26",25,350,0.0666666666666667,0.933333333333333,"nasarawa","marriage",1,1,15
"27",200,20,0.909090909090909,0.0909090909090909,"nasarawa","naming",1,1,16
"28",59.5,182.5,0.244483679913308,0.755516320086692,"nasarawa",NA,0,0,1
"29",229.5,36,0.865620589336636,0.134379410663364,"nasarawa",NA,0,0,1
"30",156,25,0.85923940358519,0.14076059641481,"nasarawa",NA,0,0,2
"31",32.5,279,0.103688610240334,0.896311389759666,"nasarawa",NA,0,0,2
"32",281,48.5,0.852809247490099,0.147190752509901,"nasarawa","naming",0,0,4
"33",147.5,235,0.386938702779758,0.613061297220242,"nasarawa","naming",0,0,5
"34",38,105,0.235263835263835,0.764736164736165,"nasarawa","marriage",0,0,6
"35",147.5,40,0.762761544011544,0.237238455988456,"nasarawa","naming",0,0,6
"36",14.5,54.5,0.203205128205128,0.796794871794872,"nasarawa","marriage",0,1,15
"37",34,17,0.666923076923077,0.333076923076923,"nasarawa","naming",0,1,15
"38",5,33.5,0.124652777777778,0.875347222222222,"nasarawa","naming",0,1,16
"39",36.5,6.5,0.850135501355014,0.149864498644986,"nasarawa","naming",0,1,16
"40",39,10,0.795833333333333,0.204166666666667,"nasarawa","naming",0,1,17
"41",18,54.5,0.245192307692308,0.754807692307692,"nasarawa","naming",0,1,17
"42",19,70,0.211870255348516,0.788129744651484,"nasarawa",NA,1,0,1
"43",28.5,69,0.29122621564482,0.70877378435518,"nasarawa",NA,1,0,2
"44",42,78.5,0.345943290286356,0.654056709713644,"nasarawa","marriage",1,0,5
"45",3,67,0.043424317617866,0.956575682382134,"nasarawa",NA,1,0,5
