id,number,pgp_amount,date,enumerator,state,note
99,,0,1/18/2018,a.simon,pilot,
100,,0,1/18/2018,a.simon,pilot,
92,,0,1/18/2018,Anna,pilot,
91,,100,1/18/2018,Anna,pilot,in 7 different bills!
12,,200,1/18/2018,Ashatu,pilot,
11,,600,1/18/2018,Ashatu,pilot,
9,,200,1/18/2018,Bilkisu,pilot,
10,,0,1/18/2018,Bilkisu,pilot,
82,,100,1/18/2018,d.ruth,pilot,
81,,200,1/18/2018,d.ruth,pilot,
95,,400,1/18/2018,Didam,pilot,
96,,200,1/18/2018,Didam,pilot,
89,,400,1/18/2018,Dugalpi,pilot,
17,,1000,1/18/2018,f.gbenyi,pilot,
18,,1000,1/18/2018,f.gbenyi,pilot,
16,,200,1/18/2018,Francis,pilot,
15,,1000,1/18/2018,Francis,pilot,refused to take
97,,0,1/18/2018,i.iorkegh,pilot,
98,,50,1/18/2018,i.iorkegh,pilot,
3,,200,1/18/2018,i.shiana,pilot,
4,,200,1/18/2018,i.shiana,pilot,
86,,200,1/18/2018,Jonah,pilot,
85,,200,1/18/2018,Jonah,pilot,
83,,200,1/18/2018,l.aule,pilot,
84,,200,1/18/2018,l.aule,pilot,
2,,200,1/18/2018,m.orga,pilot,
1,,200,1/18/2018,m.orga,pilot,
93,,100,1/18/2018,Miriam,pilot,
94,,600,1/18/2018,Miriam,pilot,
87,,200,1/18/2018,n.vincent,pilot,
88,,500,1/18/2018,n.vincent,pilot,
42,,100,1/18/2018,Nafisa,pilot,
6,,100,1/18/2018,Patience,pilot,
5,,200,1/18/2018,Patience,pilot,
8,,200,1/18/2018,Rachel,pilot,
7,,200,1/18/2018,Rachel,pilot,
19,,200,1/18/2018,Suleiman,pilot,
20,,200,1/18/2018,Suleiman,pilot,
14,,400,1/18/2018,t.ikyaave,pilot,
43,,200,1/19/2018,a.simon,pilot,name?
53,,200,1/19/2018,Aisha,pilot,
54,,200,1/19/2018,Aisha,pilot,
73,,100,1/19/2018,Anna,pilot,
74,,200,1/19/2018,Anna,pilot,
26,,50,1/19/2018,Bilkisu,pilot,
27,,200,1/19/2018,Bilkisu,pilot,
69,,100,1/19/2018,d.ruth,pilot,
55,,200,1/19/2018,Deedum,pilot,
56,,200,1/19/2018,Deedum,pilot,
90,,200,1/19/2018,Dugalpi,pilot,
79,,600,1/19/2018,Dugalpi,pilot,
61,,50,1/19/2018,f.gbenyi,pilot,
62,,200,1/19/2018,f.gbenyi,pilot,
47,,0,1/19/2018,Francis,pilot,
48,,0,1/19/2018,Francis,pilot,
49,,200,1/19/2018,i.iorkegh,pilot,
50,,200,1/19/2018,i.iorkegh,pilot,
57,,400,1/19/2018,Jonah,pilot,
58,,200,1/19/2018,Jonah,pilot,
71,,200,1/19/2018,l.aule,pilot,
